HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
Crystal Palace,Arsenal,0,2,A,4.2,3.6,1.85
Fulham,Liverpool,2,2,D,11.0,6.0,1.25
Bournemouth,Aston Villa,2,0,H,3.75,3.5,2.0
Leeds,Wolves,2,1,H,2.25,3.4,3.2
Newcastle,Nott'm Forest,2,0,H,1.66,3.8,5.25
Tottenham,Southampton,4,1,H,1.33,5.5,8.5
Everton,Chelsea,0,1,A,5.5,4.0,1.61
Leicester,Brentford,2,2,D,2.0,3.75,3.5
Man United,Brighton,1,2,A,1.6,4.2,5.25
West Ham,Man City,0,2,A,8.0,5.0,1.36
Aston Villa,Everton,2,1,H,1.8,3.5,4.75
Arsenal,Leicester,4,2,H,1.53,4.33,5.75
Brighton,Newcastle,0,0,D,2.45,3.2,3.0
Man City,Bournemouth,4,0,H,1.06,13.0,29.0
Southampton,Leeds,2,2,D,2.25,3.5,3.1
Wolves,Fulham,0,0,D,2.3,3.3,3.2
Brentford,Man United,4,0,H,3.75,3.5,2.0
Nott'm Forest,West Ham,1,0,H,4.2,3.6,1.85
Chelsea,Tottenham,2,2,D,2.25,3.4,3.2
Liverpool,Crystal Palace,1,1,D,1.18,6.75,16.0
Tottenham,Wolves,1,0,H,1.4,4.75,7.5
Crystal Palace,Aston Villa,3,1,H,2.5,3.25,2.9
Everton,Nott'm Forest,1,1,D,1.9,3.6,4.0
Fulham,Brentford,3,2,H,2.45,3.4,2.9
Leicester,Southampton,1,2,A,1.83,4.0,4.0
Bournemouth,Arsenal,0,3,A,8.0,4.75,1.4
Leeds,Chelsea,3,0,H,5.75,4.5,1.53
West Ham,Brighton,0,2,A,2.3,3.4,3.1
Newcastle,Man City,3,3,D,7.5,5.0,1.36
Man United,Liverpool,2,1,H,5.25,4.33,1.6
Southampton,Man United,0,1,A,4.2,4.0,1.8
Brentford,Everton,1,1,D,2.0,3.5,3.75
Brighton,Leeds,1,0,H,1.9,3.8,3.8
Chelsea,Leicester,2,1,H,1.4,5.0,7.0
Liverpool,Bournemouth,9,0,H,1.1,10.0,26.0
Man City,Crystal Palace,4,2,H,1.18,7.5,13.0
Arsenal,Fulham,2,1,H,1.3,5.75,9.0
